location,lat,long
1,36.0664617633333,24.8826120891667
2,36.0854503361538,24.8604121715385
3,36.0866469553846,24.8576136815385
4,36.07819933,24.8721307171429
5,36.06733942,24.8779163307692
6,36.0594587883333,24.8948124291667
7,36.0844528614286,24.8641991842857
8,36.0672620535714,24.885912285
9,36.0842857566667,24.8563927358333
10,36.0768311107143,24.8658805221429
11,36.0841637257143,24.8590038907143
12,36.0677877553846,24.8991454515385
13,36.0604010407692,24.9056345830769
14,36.0633933108333,24.8961250641667
15,36.0603748585714,24.9056080485714
16,36.0603757983333,24.9056203633333
17,36.0624740492857,24.898821235
18,36.0633731969231,24.8961179815385
19,36.0878690135714,24.8563127378571
20,36.06587168,24.9010329142857
21,36.0616294933333,24.9016756116667
22,36.0584701792308,24.9010280030769
23,36.0584887661539,24.9010319123077
24,36.0624941963636,24.89883426
25,36.0594735784615,24.8948083830769
26,36.0729615016667,24.8840106441667
27,36.0692599530769,24.8842154
28,36.0737272075,24.875732155
29,36.0594730484615,24.8948003107692
30,36.0584730607143,24.901027375
31,36.0706965666667,24.8952138066667
32,36.0721358,24.8746101721429
33,36.0624593215385,24.8988151046154
34,36.0676968053846,24.90248771
35,36.0762366392857,24.8746844314286
